,date,home,score,away
534,27-08-2023,Newcastle,1 - 2,Liverpool
535,02-09-2023,Brighton,3 - 1,Newcastle
536,16-09-2023,Newcastle,1 - 0,Brentford
537,24-09-2023,Sheffield United,0 - 8,Newcastle
538,30-09-2023,Newcastle,2 - 0,Burnley
539,08-10-2023,West Ham,2 - 2,Newcastle
540,21-10-2023,Newcastle,4 - 0,Crystal Palace
541,28-10-2023,Wolves,2 - 2,Newcastle
542,04-11-2023,Newcastle,1 - 0,Arsenal
543,11-11-2023,Bournemouth,2 - 0,Newcastle
544,25-11-2023,Newcastle,4 - 1,Chelsea
545,02-12-2023,Newcastle,1 - 0,Man United
546,07-12-2023,Everton,3 - 0,Newcastle
547,10-12-2023,Tottenham,4 - 1,Newcastle
548,16-12-2023,Newcastle,3 - 0,Fulham
549,23-12-2023,Luton,1 - 0,Newcastle
550,26-12-2023,Newcastle,1 - 3,Nott'm Forest
551,01-01-2024,Liverpool,4 - 2,Newcastle
552,13-01-2024,Newcastle,2 - 3,Man City
553,30-01-2024,Aston Villa,1 - 3,Newcastle
554,03-02-2024,Newcastle,4 - 4,Luton
555,10-02-2024,Nott'm Forest,2 - 3,Newcastle
556,17-02-2024,Newcastle,2 - 2,Bournemouth
557,24-02-2024,Arsenal,4 - 1,Newcastle
558,02-03-2024,Newcastle,3 - 0,Wolves
559,11-03-2024,Chelsea,3 - 2,Newcastle
560,30-03-2024,Newcastle,4 - 3,West Ham
561,02-04-2024,Newcastle,1 - 1,Everton
562,06-04-2024,Fulham,0 - 1,Newcastle
563,13-04-2024,Newcastle,4 - 0,Tottenham
564,24-04-2024,Crystal Palace,2 - 0,Newcastle
565,27-04-2024,Newcastle,5 - 1,Sheffield United
566,04-05-2024,Burnley,1 - 4,Newcastle
567,11-05-2024,Newcastle,1 - 1,Brighton
568,15-05-2024,Man United,3 - 2,Newcastle
569,19-05-2024,Brentford,2 - 4,Newcastle
570,12-08-2023,Arsenal,2 - 1,Nott'm Forest
571,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
572,26-08-2023,Man United,3 - 2,Nott'm Forest
573,02-09-2023,Chelsea,0 - 1,Nott'm Forest
574,18-09-2023,Nott'm Forest,1 - 1,Burnley
575,23-09-2023,Man City,2 - 0,Nott'm Forest
576,01-10-2023,Nott'm Forest,1 - 1,Brentford
577,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
578,21-10-2023,Nott'm Forest,2 - 2,Luton
579,29-10-2023,Liverpool,3 - 0,Nott'm Forest
580,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
581,12-11-2023,West Ham,3 - 2,Nott'm Forest
582,25-11-2023,Nott'm Forest,2 - 3,Brighton
583,02-12-2023,Nott'm Forest,0 - 1,Everton
584,06-12-2023,Fulham,5 - 0,Nott'm Forest
585,09-12-2023,Wolves,1 - 1,Nott'm Forest
586,15-12-2023,Nott'm Forest,0 - 2,Tottenham
587,23-12-2023,Nott'm Forest,2 - 3,Bournemouth
588,26-12-2023,Newcastle,1 - 3,Nott'm Forest
589,30-12-2023,Nott'm Forest,2 - 1,Man United
590,20-01-2024,Brentford,3 - 2,Nott'm Forest
591,30-01-2024,Nott'm Forest,1 - 2,Arsenal
592,04-02-2024,Bournemouth,1 - 1,Nott'm Forest
593,10-02-2024,Nott'm Forest,2 - 3,Newcastle
594,17-02-2024,Nott'm Forest,2 - 0,West Ham
595,24-02-2024,Aston Villa,4 - 2,Nott'm Forest
596,02-03-2024,Nott'm Forest,0 - 1,Liverpool
597,10-03-2024,Brighton,1 - 0,Nott'm Forest
598,16-03-2024,Luton,1 - 1,Nott'm Forest
599,30-03-2024,Nott'm Forest,1 - 1,Crystal Palace
600,02-04-2024,Nott'm Forest,3 - 1,Fulham
601,07-04-2024,Tottenham,3 - 1,Nott'm Forest
602,13-04-2024,Nott'm Forest,2 - 2,Wolves
603,21-04-2024,Everton,2 - 0,Nott'm Forest
604,28-04-2024,Nott'm Forest,0 - 2,Man City
605,04-05-2024,Sheffield United,1 - 3,Nott'm Forest
606,11-05-2024,Nott'm Forest,2 - 3,Chelsea
607,19-05-2024,Burnley,1 - 2,Nott'm Forest
608,12-08-2023,Sheffield United,0 - 1,Crystal Palace
609,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
610,27-08-2023,Sheffield United,1 - 2,Man City
611,02-09-2023,Sheffield United,2 - 2,Everton
612,16-09-2023,Tottenham,2 - 1,Sheffield United
613,24-09-2023,Sheffield United,0 - 8,Newcastle
614,30-09-2023,West Ham,2 - 0,Sheffield United
615,07-10-2023,Fulham,3 - 1,Sheffield United
616,21-10-2023,Sheffield United,1 - 2,Man United
617,28-10-2023,Arsenal,5 - 0,Sheffield United
618,04-11-2023,Sheffield United,2 - 1,Wolves
619,12-11-2023,Brighton,1 - 1,Sheffield United
620,25-11-2023,Sheffield United,1 - 3,Bournemouth
621,02-12-2023,Burnley,5 - 0,Sheffield United
622,06-12-2023,Sheffield United,0 - 2,Liverpool
623,09-12-2023,Sheffield United,1 - 0,Brentford
624,16-12-2023,Chelsea,2 - 0,Sheffield United
625,22-12-2023,Aston Villa,1 - 1,Sheffield United
626,26-12-2023,Sheffield United,2 - 3,Luton
627,30-12-2023,Man City,2 - 0,Sheffield United
628,21-01-2024,Sheffield United,2 - 2,West Ham
629,30-01-2024,Crystal Palace,3 - 2,Sheffield United
630,03-02-2024,Sheffield United,0 - 5,Aston Villa
631,10-02-2024,Luton,1 - 3,Sheffield United
632,18-02-2024,Sheffield United,0 - 5,Brighton
633,25-02-2024,Wolves,1 - 0,Sheffield United
634,04-03-2024,Sheffield United,0 - 6,Arsenal
635,09-03-2024,Bournemouth,2 - 2,Sheffield United
636,30-03-2024,Sheffield United,3 - 3,Fulham
637,04-04-2024,Liverpool,3 - 1,Sheffield United
638,07-04-2024,Sheffield United,2 - 2,Chelsea
639,13-04-2024,Brentford,2 - 0,Sheffield United
640,20-04-2024,Sheffield United,1 - 4,Burnley
641,24-04-2024,Man United,4 - 2,Sheffield United
642,27-04-2024,Newcastle,5 - 1,Sheffield United
643,04-05-2024,Sheffield United,1 - 3,Nott'm Forest
644,11-05-2024,Everton,1 - 0,Sheffield United
645,19-05-2024,Sheffield United,0 - 3,Tottenham
646,13-08-2023,Brentford,2 - 2,Tottenham
647,19-08-2023,Tottenham,2 - 0,Man United
648,26-08-2023,Bournemouth,0 - 2,Tottenham
649,02-09-2023,Burnley,2 - 5,Tottenham
650,16-09-2023,Tottenham,2 - 1,Sheffield United
651,24-09-2023,Arsenal,2 - 2,Tottenham
652,30-09-2023,Tottenham,2 - 1,Liverpool
653,07-10-2023,Luton,0 - 1,Tottenham
654,23-10-2023,Tottenham,2 - 0,Fulham
655,27-10-2023,Crystal Palace,1 - 2,Tottenham
656,06-11-2023,Tottenham,1 - 4,Chelsea
657,11-11-2023,Wolves,2 - 1,Tottenham
658,26-11-2023,Tottenham,1 - 2,Aston Villa
659,03-12-2023,Man City,3 - 3,Tottenham
660,07-12-2023,Tottenham,1 - 2,West Ham
661,10-12-2023,Tottenham,4 - 1,Newcastle
662,15-12-2023,Nott'm Forest,0 - 2,Tottenham
663,23-12-2023,Tottenham,2 - 1,Everton
664,28-12-2023,Brighton,4 - 2,Tottenham
665,31-12-2023,Tottenham,3 - 1,Bournemouth
666,14-01-2024,Man United,2 - 2,Tottenham
667,31-01-2024,Tottenham,3 - 2,Brentford
668,03-02-2024,Everton,2 - 2,Tottenham
669,10-02-2024,Tottenham,2 - 1,Brighton
670,17-02-2024,Tottenham,1 - 2,Wolves
671,02-03-2024,Tottenham,3 - 1,Crystal Palace
672,10-03-2024,Aston Villa,0 - 4,Tottenham
673,16-03-2024,Fulham,3 - 0,Tottenham
674,30-03-2024,Tottenham,2 - 1,Luton
675,02-04-2024,West Ham,1 - 1,Tottenham
676,07-04-2024,Tottenham,3 - 1,Nott'm Forest
677,13-04-2024,Newcastle,4 - 0,Tottenham
678,28-04-2024,Tottenham,2 - 3,Arsenal
679,02-05-2024,Chelsea,2 - 0,Tottenham
680,05-05-2024,Liverpool,4 - 2,Tottenham
681,11-05-2024,Tottenham,2 - 1,Burnley
682,14-05-2024,Tottenham,0 - 2,Man City
683,19-05-2024,Sheffield United,0 - 3,Tottenham
684,12-08-2023,Bournemouth,1 - 1,West Ham
685,20-08-2023,West Ham,3 - 1,Chelsea
686,26-08-2023,Brighton,1 - 3,West Ham
687,01-09-2023,Luton,1 - 2,West Ham
688,16-09-2023,West Ham,1 - 3,Man City
689,24-09-2023,Liverpool,3 - 1,West Ham
690,30-09-2023,West Ham,2 - 0,Sheffield United
691,08-10-2023,West Ham,2 - 2,Newcastle
692,22-10-2023,Aston Villa,4 - 1,West Ham
693,29-10-2023,West Ham,0 - 1,Everton
694,04-11-2023,Brentford,3 - 2,West Ham
695,12-11-2023,West Ham,3 - 2,Nott'm Forest
696,25-11-2023,Burnley,1 - 2,West Ham
697,03-12-2023,West Ham,1 - 1,Crystal Palace
698,07-12-2023,Tottenham,1 - 2,West Ham
699,10-12-2023,Fulham,5 - 0,West Ham
700,17-12-2023,West Ham,3 - 0,Wolves
701,23-12-2023,West Ham,2 - 0,Man United
702,28-12-2023,Arsenal,0 - 2,West Ham
703,02-01-2024,West Ham,0 - 0,Brighton
704,21-01-2024,Sheffield United,2 - 2,West Ham
705,01-02-2024,West Ham,1 - 1,Bournemouth
706,04-02-2024,Man United,3 - 0,West Ham
707,11-02-2024,West Ham,0 - 6,Arsenal
708,17-02-2024,Nott'm Forest,2 - 0,West Ham
709,26-02-2024,West Ham,4 - 2,Brentford
710,02-03-2024,Everton,1 - 3,West Ham
711,10-03-2024,West Ham,2 - 2,Burnley
712,17-03-2024,West Ham,1 - 1,Aston Villa
713,30-03-2024,Newcastle,4 - 3,West Ham
714,02-04-2024,West Ham,1 - 1,Tottenham
715,06-04-2024,Wolves,1 - 2,West Ham
716,14-04-2024,West Ham,0 - 2,Fulham
717,21-04-2024,Crystal Palace,5 - 2,West Ham
718,27-04-2024,West Ham,2 - 2,Liverpool
719,05-05-2024,Chelsea,5 - 0,West Ham
720,11-05-2024,West Ham,3 - 1,Luton
721,19-05-2024,Man City,3 - 1,West Ham
722,14-08-2023,Man United,1 - 0,Wolves
723,19-08-2023,Wolves,1 - 4,Brighton
724,26-08-2023,Everton,0 - 1,Wolves
725,03-09-2023,Crystal Palace,3 - 2,Wolves
726,16-09-2023,Wolves,1 - 3,Liverpool
727,23-09-2023,Luton,1 - 1,Wolves
728,30-09-2023,Wolves,2 - 1,Man City
729,08-10-2023,Wolves,1 - 1,Aston Villa
730,21-10-2023,Bournemouth,1 - 2,Wolves
731,28-10-2023,Wolves,2 - 2,Newcastle
732,04-11-2023,Sheffield United,2 - 1,Wolves
733,11-11-2023,Wolves,2 - 1,Tottenham
734,27-11-2023,Fulham,3 - 2,Wolves
735,02-12-2023,Arsenal,2 - 1,Wolves
736,05-12-2023,Wolves,1 - 0,Burnley
737,09-12-2023,Wolves,1 - 1,Nott'm Forest
738,17-12-2023,West Ham,3 - 0,Wolves
739,24-12-2023,Wolves,2 - 1,Chelsea
740,27-12-2023,Brentford,1 - 4,Wolves
741,30-12-2023,Wolves,3 - 0,Everton
742,22-01-2024,Brighton,0 - 0,Wolves
743,01-02-2024,Wolves,3 - 4,Man United
744,04-02-2024,Chelsea,2 - 4,Wolves
745,10-02-2024,Wolves,0 - 2,Brentford
746,17-02-2024,Tottenham,1 - 2,Wolves
747,25-02-2024,Wolves,1 - 0,Sheffield United
748,02-03-2024,Newcastle,3 - 0,Wolves
749,09-03-2024,Wolves,2 - 1,Fulham
750,30-03-2024,Aston Villa,2 - 0,Wolves
751,02-04-2024,Burnley,1 - 1,Wolves
752,06-04-2024,Wolves,1 - 2,West Ham
753,13-04-2024,Nott'm Forest,2 - 2,Wolves
754,20-04-2024,Wolves,0 - 2,Arsenal
755,24-04-2024,Wolves,0 - 1,Bournemouth
756,27-04-2024,Wolves,2 - 1,Luton
757,04-05-2024,Man City,5 - 1,Wolves
758,11-05-2024,Wolves,1 - 3,Crystal Palace
759,19-05-2024,Liverpool,2 - 0,Wolves
